Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
08N10902,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,LOO,
08N10908,MO,Spring Creek,Missouri,USA,37.773889,-92.200833,6/12/08,Breeding,ST,1,LOO,
225090302,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090305,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090306,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090307,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090308,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090309,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090310,MT,Woods Bay,Montana,USA,48.02,-114.01,7/1/02,Breeding,BR,1,LOO,
225090311,MT,Woods Bay,Montana,USA,48.02,-114.01,7/3/02,Breeding,BR,1,LOO,
SERU7010,NB,Alma,New Brunswick,Canada,45.62,-65.05,5/30/95,Breeding,MP,1,LOO,
SERU7012,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/3/95,Breeding,MP,1,LOO,
SERU7013,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/3/95,Breeding,MP,1,LOO,
SERU7016,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/5/95,Breeding,MP,1,LOO,
SERU7019,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/9/95,Breeding,MP,1,LOO,
SERU7025,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/10/95,Breeding,MP,1,LOO,
SERU7026,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/10/95,Breeding,MP,1,LOO,
SERU7027,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/10/95,Breeding,MP,1,LOO,
SERU7028,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/10/95,Breeding,MP,1,LOO,
SERU7030,NB,Alma,New Brunswick,Canada,45.62,-65.05,6/11/95,Breeding,MP,1,LOO,
SERU9003,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/27/94,Breeding,MP,1,LOO,
SERU9006,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/28/94,Breeding,MP,1,LOO,
SERU9008,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/28/94,Breeding,MP,1,LOO,
SERU9009,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/30/94,Breeding,MP,1,LOO,
SERU9010,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/30/94,Breeding,MP,1,LOO,
SERU9011,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/30/94,Breeding,MP,1,LOO,
SERU9013,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/30/94,Breeding,MP,1,LOO,
SERU9014,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/30/94,Breeding,MP,1,LOO,
SERU9027,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/19/95,Breeding,MP,1,LOO,
SERU9028,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/20/95,Breeding,MP,1,LOO,
SERU9030,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/20/95,Breeding,MP,1,LOO,
SERU9032,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/24/95,Breeding,MP,1,LOO,
SERU9033,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/24/95,Breeding,MP,1,LOO,
SERU9036,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/27/95,Breeding,MP,1,LOO,
SERU9037,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/28/95,Breeding,MP,1,LOO,
SERU9038,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/24/95,Breeding,MP,1,LOO,
SERU9040,NF,Cormack,Newfoundland,Canada,49.36,-57.31,6/26/95,Breeding,MP,1,LOO,
SERU5012,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,1,Individual,
SERU5013,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,1,Individual,
SERU5015,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,0.9,Individual,
SERU5017,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,0.9,Individual,
SERU5020,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,1,LOO,
SERU5021,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,1,LOO,
SERU5022,ON,Gananoque,Ontario,Canada,44.35,-76.19,,Breeding,NT,1,LOO,
SERU5026,ON,Gananoque,Ontario,Canada,44.35,-76.19,5/21/95,Breeding,NT,0.9,LOO,
SERU5029,ON,Gananoque,Ontario,Canada,44.35,-76.19,5/27/95,Breeding,NT,1,LOO,
SERU5030,ON,Gananoque,Ontario,Canada,44.35,-76.19,5/24/95,Breeding,NT,1,LOO,
283021325,PA,Bradys Lake,Pennsylvania,USA,41.168192,-75.527494,6/13/17,Breeding,ST,0.7,Individual,
283021336,PA,Bushkill,Pennsylvania,USA,41.079248,-74.993223,6/20/17,Breeding,ST,0.6,Individual,
18N00846,QB,Normandin,Quebec,Canada,48.87079,-72.68293,6/13/18,Breeding,NT,1,Individual,
18N00847,QB,Normandin,Quebec,Canada,48.87147,-72.68155,6/13/18,Breeding,NT,1,Individual,
18N00849,QB,Normandin,Quebec,Canada,48.87014,-72.67908,6/13/18,Breeding,NT,1,Individual,
