species,season,population,longitude,latitude
swathr,nonbreeding,PNW,-89.360278,14.4025
swathr,nonbreeding,PacificCoast,-89.943333,13.823056
swathr,nonbreeding,PacificCoast,-89.943333,13.823056
swathr,nonbreeding,PacificCoast,-89.943333,13.823056
swathr,nonbreeding,PNW,-89.943333,13.823056
swathr,nonbreeding,PacificCoast,-89.943333,13.823056
swathr,nonbreeding,PNW,-89.943333,13.823056
swathr,nonbreeding,PacificCoast,-89.943333,13.823056
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PacificCoast,-86.008333,11.832222
swathr,nonbreeding,PNW,-86.008333,11.832222
swathr,nonbreeding,PNW,-99.1969,23.0639
swathr,nonbreeding,PNW,-99.1519,23.0494
swathr,nonbreeding,PNW,-99.196944,23.06388
swathr,nonbreeding,PNW,-99.196944,23.06388
swathr,nonbreeding,W_E_Boreal,-82.97475182,8.78423595
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,PacificCoast,-86.262778,11.978889
swathr,nonbreeding,PacificCoast,-86.262778,11.978889
swathr,nonbreeding,PacificCoast,-86.262778,11.978889
swathr,nonbreeding,PacificCoast,-86.262778,11.978889
swathr,nonbreeding,PacificCoast,-86.262778,11.978889
swathr,nonbreeding,PacificCoast,-89.3603,14.805
swathr,nonbreeding,PacificCoast,-89.2137,14.2409
swathr,nonbreeding,PacificCoast,-89.2137,14.2409
swathr,nonbreeding,PacificCoast,-89.2137,14.2409
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,PacificCoast,-82.97251855,8.801173175
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.51534702,4.365643021
swathr,nonbreeding,W_E_Boreal,-74.51534702,4.365643021
swathr,nonbreeding,W_E_Boreal,-74.481858,4.325313
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-77.8675,0.5782
swathr,nonbreeding,W_E_Boreal,-74.51534702,4.365643021
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.51534702,4.365643021
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.481858,4.325313
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-77.59831062,-0.671166923
swathr,nonbreeding,W_E_Boreal,-77.59831066,-0.671239226
swathr,nonbreeding,W_E_Boreal,-77.59831066,-0.671239226
swathr,nonbreeding,W_E_Boreal,-77.59872398,-0.671871661
swathr,nonbreeding,W_E_Boreal,-77.59872398,-0.671871661
swathr,nonbreeding,W_E_Boreal,-74.481858,4.325313
swathr,nonbreeding,W_E_Boreal,-74.536308,4.322412
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,W_E_Boreal,-65.344492,-26.867872
swathr,nonbreeding,PacificCoast,-96.42089167,15.92515
swathr,nonbreeding,PacificCoast,-96.425775,15.94860833
swathr,nonbreeding,PacificCoast,-96.42089167,15.92515
swathr,nonbreeding,PacificCoast,-96.425775,15.94860833
swathr,nonbreeding,PacificCoast,-96.42089167,15.92515
swathr,nonbreeding,PacificCoast,-96.39656111,15.89416944
swathr,nonbreeding,PacificCoast,-92.808725,15.656999
swathr,nonbreeding,PacificCoast,-87.0997,14.4133
swathr,nonbreeding,PacificCoast,-92.808725,15.656999
swathr,nonbreeding,PacificCoast,-92.808725,15.656999
swathr,nonbreeding,PNW,-92.808725,15.656999
swathr,nonbreeding,PacificCoast,-92.808725,15.656999
swathr,nonbreeding,PNW,-84.8097,10.614
swathr,nonbreeding,PacificCoast,-84.8097,10.614
swathr,nonbreeding,PNW,-93.3739,17.5162
swathr,nonbreeding,PacificCoast,-93.3739,17.5162
swathr,nonbreeding,PNW,-93.3739,17.5162
swathr,nonbreeding,PacificCoast,-93.3739,17.5162
swathr,nonbreeding,PNW,-93.3739,17.5162
swathr,nonbreeding,PNW,-93.3739,17.5162
swathr,nonbreeding,PacificCoast,-93.3739,17.5162
swathr,nonbreeding,PacificCoast,-104.119879,19.563156
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
swathr,nonbreeding,W_E_Boreal,-73.0877,-9.8251
wilfly,nonbreeding,PNW_INW,-85.6495,10.329
wilfly,nonbreeding,SW,-85.6495,10.329
wilfly,nonbreeding,SW,-85.6495,10.329
wilfly,nonbreeding,PNW_INW,-85.6495,10.329
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-84.8993,10.0693
wilfly,nonbreeding,PNW_INW,-84.8993,10.0693
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-84.8993,10.0693
wilfly,nonbreeding,SW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-85.6495,10.329
wilfly,nonbreeding,PNW_INW,-85.6495,10.329
wilfly,nonbreeding,PNW_INW,-82.9578,8.562
wilfly,nonbreeding,PNW_INW,-82.9578,8.562
wilfly,nonbreeding,EST,-82.9578,8.562
wilfly,nonbreeding,PNW_INW,-82.9578,8.562
wilfly,nonbreeding,PNW_INW,-83.2942,8.5155
wilfly,nonbreeding,PNW_INW,-83.2942,8.5155
wilfly,nonbreeding,EST,-83.2942,8.5155
wilfly,nonbreeding,PNW_INW,-84.8993,10.0693
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-84.8993,10.0693
wilfly,nonbreeding,PNW_INW,-85.4195,10.3552
wilfly,nonbreeding,PNW_INW,-80.372,7.4475
wilfly,nonbreeding,EST,-80.372,7.4475
wilfly,nonbreeding,PNW_INW,-80.372,7.4475
wilfly,nonbreeding,EST,-80.372,7.4475
wilfly,nonbreeding,PNW_INW,-80.5405,7.8867
wilfly,nonbreeding,PNW_INW,-79.3755,9.0705
wilfly,nonbreeding,PNW_INW,-77.7228,8.1057
wilfly,nonbreeding,PNW_INW,-77.7228,8.1057
wilfly,nonbreeding,PNW_INW,-79.3755,9.0705
wilfly,nonbreeding,PNW_INW,-88.2432,13.3192
wilfly,nonbreeding,PNW_INW,-88.719,13.3413
wilfly,nonbreeding,PNW_INW,-80.372,7.4475
wilfly,nonbreeding,PNW_INW,-80.5405,7.8867
wilfly,nonbreeding,PNW_INW,-80.5405,7.8867
wilfly,nonbreeding,PNW_INW,-80.5405,7.8867
wilfly,nonbreeding,EST,-80.5405,7.8867
wilfly,nonbreeding,PNW_INW,-88.719,13.3413
wilfly,nonbreeding,PNW_INW,-88.719,13.3413
wilfly,nonbreeding,PNW_INW,-77.7228,8.1057
wilfly,nonbreeding,PNW_INW,-77.7228,8.1057
wilfly,nonbreeding,PNW_INW,-88.2697,13.3262
wilfly,nonbreeding,PNW_INW,-88.719,13.3413
wilfly,nonbreeding,PNW_INW,-88.2697,13.3262
wilfly,nonbreeding,PNW_INW,-88.2432,13.3192
wilfly,nonbreeding,PNW_INW,-89.943,13.692
wilfly,nonbreeding,PNW_INW,-88.719,13.3413
wilfly,nonbreeding,PNW_INW,-104.559,19.16164
wilfly,nonbreeding,PNW_INW,-89.943,13.692
wilfly,nonbreeding,SW,-85.266,9.759
wilfly,nonbreeding,PNW_INW,-85.266,9.759
wilfly,nonbreeding,PNW_INW,-98.4077,16.5
wilfly,nonbreeding,PNW_INW,-98.4126,16.47036
wilfly,nonbreeding,PNW_INW,-98.4126,16.47036
wilfly,nonbreeding,PNW_INW,-99.6002,16.72081
wilfly,nonbreeding,PNW_INW,-99.6002,16.72081
wilfly,nonbreeding,PNW_INW,-93.7104,15.8895
wilfly,nonbreeding,PNW_INW,-101.64,17.69
wilfly,nonbreeding,PNW_INW,-93.7104,15.8895
wilfly,nonbreeding,PNW_INW,-92.4199,14.7226
wilfly,nonbreeding,PNW_INW,-101.64,17.69
wilfly,nonbreeding,PNW_INW,-104.558,19.1562
wilfly,nonbreeding,PNW_INW,-104.558,19.1562
wilfly,nonbreeding,PNW_INW,-92.4199,14.7226
wilfly,nonbreeding,PNW_INW,-92.4199,14.7226
wilfly,nonbreeding,PNW_INW,-92.4199,14.7226
wilfly,nonbreeding,EST,-77.61,-1.07
wilfly,nonbreeding,EST,-77.61,-1.07
wilfly,nonbreeding,EST,-77.61,-1.07
wilfly,nonbreeding,PNW_INW,-98.4077,16.5
wilfly,nonbreeding,PNW_INW,-93.7104,15.8895
wilfly,nonbreeding,PNW_INW,-93.7104,15.8895
wilfly,nonbreeding,PNW_INW,-96.0495,15.7925
wilfly,nonbreeding,PNW_INW,-98.8255,16.5835
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,EST,-77.61,-1.07
wilfly,nonbreeding,EST,-77.61,-1.07
wilfly,nonbreeding,EST,-77.8119,-0.9664
wilfly,nonbreeding,PNW_INW,-96.0488,15.79279
wilfly,nonbreeding,PNW_INW,-96.0488,15.79279
wilfly,nonbreeding,PNW_INW,-92.4199,14.7226
wilfly,nonbreeding,PNW_INW,-98.8259,16.58252
wilfly,nonbreeding,PNW_INW,-98.8259,16.58252
wilfly,nonbreeding,PNW_INW,-99.6002,16.72081
wilfly,nonbreeding,PNW_INW,-93.7104,15.8895
wilfly,nonbreeding,PNW_INW,-99.6002,16.72081
wilfly,nonbreeding,PNW_INW,-99.6002,16.72081
wilfly,nonbreeding,PNW_INW,-91.633,14.57433
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,EST,-76.3132,-0.475861
wilfly,nonbreeding,PNW_INW,-96.0495,15.7925
wilfly,nonbreeding,EST,-76.2847,-0.423313
wilfly,nonbreeding,EST,-77.8119,-0.9664
wilfly,nonbreeding,PNW_INW,-98.4126,16.47036
wilfly,nonbreeding,EST,-77.8132,-0.995672
wilfly,nonbreeding,PNW_INW,-77.8132,-0.995672
wilfly,nonbreeding,PNW_INW,-105.55,22.39511
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,EST,-76.9928,-0.455541
wilfly,nonbreeding,PNW_INW,-105.55,22.39511
wilfly,nonbreeding,EST,-76.3132,-0.475861
wilfly,nonbreeding,EST,-76.3132,-0.475861
wilfly,nonbreeding,PNW_INW,-89.1036,15.246805
wilfly,nonbreeding,PNW_INW,-89.2995,15.518396
wilfly,nonbreeding,PNW_INW,-89.2995,15.518396
wilfly,nonbreeding,PNW_INW,-89.2995,15.518396
wilfly,nonbreeding,PNW_INW,-90.9126,13.930099
wilfly,nonbreeding,PNW_INW,-89.1036,15.246805
wilfly,nonbreeding,PNW_INW,-89.1036,15.246805
wilfly,nonbreeding,PNW_INW,-91.633,14.57433
wilfly,nonbreeding,PNW_INW,-91.633,14.57433
wilfly,nonbreeding,PNW_INW,-91.633,14.57433
wilfly,nonbreeding,PNW_INW,-105.55,22.39511
wilfly,nonbreeding,PNW_INW,-105.55,22.39511
wilfly,nonbreeding,SW,-87.49636,12.887293
wilfly,nonbreeding,SW,-87.1575,12.798346
wilfly,nonbreeding,SW,-85.43054,12.085834
wilfly,nonbreeding,PNW_INW,-89.2995,15.518396
wilfly,nonbreeding,PNW_INW,-90.9126,13.930099
wilfly,nonbreeding,SW,-87.1575,12.798346
wilfly,nonbreeding,SW,-87.497,12.887084
wilfly,nonbreeding,SW,-87.497,12.887084
