Sample	W_E_Boreal	PNW	PacificCoast	BGP_ID	CollectionDate	Country_code	State	CityTown	Location	ClimGroup	Lat	Long	Stage	Reference 
97N7007	0	0	1	97N7007	2/18/97	Mexico	Chiapas	NA	Chiapas	Mexico_Chiapas	15.656999	-92.808725	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
97N7009	0	0	1	97N7009	2/18/97	Mexico	Chiapas	NA	Chiapas	Mexico_Chiapas	15.656999	-92.808725	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
97N7013	0	1	0	97N7013	2/18/97	Mexico	Chiapas	NA	Chiapas	Mexico_Chiapas	15.656999	-92.808725	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
97N7014	0	0	1	97N7014	2/14/97	Mexico	Chiapas	NA	Chiapas	Mexico_Chiapas	15.656999	-92.808725	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N0092	0	0.6	0.4	98N0092	1/27/98	Costa Rica	Guanacaste	MONTEVERDE CLOUD FOREST RESERVE	Monte Verde	Costa Rica_Monte Verde	10.614	-84.8097	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N0098	0	0.6	0.4	98N0098	1/29/98	Costa Rica	Guanacaste	MONTEVERDE CLOUD FOREST RESERVE	Monte Verde	Costa Rica_Monte Verde	10.614	-84.8097	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N0099	0	1	0	98N0099	1/29/98	Costa Rica	Guanacaste	MONTEVERDE CLOUD FOREST RESERVE	Monte Verde	Costa Rica_Monte Verde	10.614	-84.8097	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N0102	0	0.1	0.9	98N0102	1/30/98	Costa Rica	Guanacaste	MONTEVERDE CLOUD FOREST RESERVE	Monte Verde	Costa Rica_Monte Verde	10.614	-84.8097	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1108	0	1	0	98N1108	1/22/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1119	0	0	1	98N1119	1/22/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1120	0	1	0	98N1120	1/23/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1121	0	0	1	98N1121	1/23/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1126	0	1	0	98N1126	1/24/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1131	0	1	0	98N1131	1/24/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N1132	0	0	1	98N1132	1/24/98	Mexico	Chiapas	Reserva El Ocote	Reserva El Ocote	Mexico_Reserva El Ocote	17.5162	-93.3739	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
98N4087	0	0	1	98N4087	2/28/98	Mexico	Jalisco	NA	Jalisco	Mexico_Jalisco	19.563156	-104.119879	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
KSW4587-25964	1	0	0	KSW4587-25964	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
KSW4605-25963	1	0	0	KSW4605-25963	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
KSW4617-22367	1	0	0	KSW4617-22367	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
MJM1260-25965	1	0	0	MJM1260-25965	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
MJM1264-25966	1	0	0	MJM1264-25966	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
MJM1335-26011	1	0	0	MJM1335-26011	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
MJM1354-30947	1	0	0	MJM1354-30947	NA	Peru	Ucayali	NA	Ucayali	Peru_Ucayali	-9.8251	-73.0877	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
