Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset
1740-91941,ID2,mink_creek,Idaho,USA,42.7507,-112.392,7/11/98,Breeding,PNW_INW,1,Individual
1740-91942,ID2,mink_creek,Idaho,USA,42.7507,-112.392,7/11/98,Breeding,PNW_INW,1,Individual
1740-91943,ID2,mink_creek,Idaho,USA,42.7507,-112.392,7/13/98,Breeding,PNW_INW,1,Individual
1740-91944,ID2,mink_creek,Idaho,USA,42.7507,-112.392,7/13/98,Breeding,PNW_INW,1,Individual
1740-91792,IN,willow_slew,Indiana,USA,40.9833,-87.525,7/3/98,Breeding,EST,1,LOO
1740-91794,IN,willow_slew,Indiana,USA,40.9833,-87.525,7/4/98,Breeding,EST,1,Individual
2290-24398,MD,piney_run,Maryland,USA,39.4,-76.99,NA,Breeding,EST,1,Individual
2290-24399,MD,piney_run,Maryland,USA,39.4,-76.99,NA,Breeding,EST,1,LOO
2550-06470,MI,fctc_sabo,Michigan,USA,42.84027,-85.303,6/26/15,Breeding,EST,1,Individual
2730-29419,MI,fctc_sabo,Michigan,USA,42.84027,-85.303,6/19/15,Breeding,EST,1,Individual
1740-91780,MN,elm_creek,Minnesota,USA,45.1333,-93.45,6/24/98,Breeding,EST,1,LOO
1740-91783,MN,elm_creek,Minnesota,USA,45.1333,-93.45,6/25/98,Breeding,EST,1,Individual
WIFLA,MN,elm_creek,Minnesota,USA,45.1333,-93.45,NA,Breeding,EST,1,Individual
WIFLB,MN,elm_creek,Minnesota,USA,45.1333,-93.45,NA,Breeding,EST,1,Individual
1590-97493,MT,lee_metcalf,Montana,USA,46.55,-114.1,6/19/98,Breeding,PNW_INW,1,Individual
1590-97498,MT,hamon_memorial,Montana,USA,45.95,-114.133,6/20/98,Breeding,PNW_INW,1,Individual
1590-97499,MT,hamon_memorial,Montana,USA,45.95,-114.133,6/20/98,Breeding,PNW_INW,1,Individual
1740-51651,ND,arrowood,North Dakota,USA,47.2125,-98.8417,6/17/00,Breeding,EST,1,Individual
1740-51653,ND,arrowood,North Dakota,USA,47.2125,-98.8417,6/17/00,Breeding,EST,1,Individual
1740-51654,ND,arrowood,North Dakota,USA,47.2125,-98.8417,6/17/00,Breeding,EST,1,Individual
1710-20644,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/28/00,Breeding,SW,1,Individual
1710-46367,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/28/00,Breeding,SW,1,Individual
1710-46369,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/28/00,Breeding,SW,1,Individual
1710-46387,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/28/00,Breeding,SW,1,Individual
1710-46389,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/28/00,Breeding,SW,1,Individual
1740-91683,NM1,west_fork_ditch,New Mexico,USA,33.0386,-108.538,6/24/98,Breeding,SW,1,Individual
1740-91688,NM2,tierra_azul,New Mexico,USA,36.3042,-105.573,7/9/98,Breeding,PNW_INW,1,Individual
1740-91691,NM2,tierra_azul,New Mexico,USA,36.3042,-105.573,7/10/98,Breeding,PNW_INW,1,Individual
1740-91692,NM2,los_ojos,New Mexico,USA,36.7292,-106.569,7/10/98,Breeding,SW,1,Individual
1740-91693,NM2,los_ojos,New Mexico,USA,36.7292,-106.569,7/10/98,Breeding,PNW_INW,1,Individual
1740-91694,NM2,los_ojos,New Mexico,USA,36.7292,-106.569,7/11/98,Breeding,PNW_INW,1,Individual
1590-97226,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,6/15/97,Breeding,PNW_INW,1,Individual
1590-97227,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,6/15/97,Breeding,PNW_INW,1,Individual
1590-97229,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,6/15/97,Breeding,PNW_INW,1,Individual
1590-97230,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,6/16/97,Breeding,PNW_INW,1,Individual
1590-97363,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,7/2/97,Breeding,PNW_INW,1,Individual
1590-97364,NM3,zuni_nutria,New Mexico,USA,35.2354,-108.64,7/2/97,Breeding,PNW_INW,1,Individual
1710-46316,NM4,shiprock,New Mexico,USA,36.8667,-108.777,7/24/98,Breeding,PNW_INW,1,Individual
1710-46317,NM4,shiprock,New Mexico,USA,36.8667,-108.777,7/24/98,Breeding,PNW_INW,1,Individual
1710-20405,NM5,san_marcial,New Mexico,USA,33.5729,-107.03,7/12/98,Breeding,SW,1,Individual
1710-20634,NV1,ash_meadows,Nevada,USA,36.48333,-116.333,7/10/98,Breeding,SW,1,Individual
1710-20635,NV1,ash_meadows,Nevada,USA,36.48333,-116.333,NA,Breeding,SW,1,Individual
